,pickup_community_area,fare,trip_start_month,trip_start_hour,trip_start_day,trip_start_timestamp,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,trip_miles,pickup_census_tract,dropoff_census_tract,payment_type,company,trip_seconds,dropoff_community_area,tips
51,8,8.45,2,21,5,1424984400,41.907412816,-87.640901525,41.892507781,-87.626214906,1.9,,17031081500.0,Cash,Taxi Affiliation Services,780.0,8.0,0.0
52,7,12.65,12,20,5,1386878400,41.926811182,-87.642605247,41.892507781,-87.626214906,0.2,,17031081500.0,Cash,Blue Ribbon Taxi Association Inc.,1320.0,8.0,0.0
53,7,8.85,9,19,1,1379877300,41.921854911,-87.64621097700001,41.892507781,-87.626214906,2.5,,17031081500.0,Credit Card,Dispatch Taxi Affiliation,660.0,8.0,2.0
54,6,11.25,7,0,7,1435968000,41.938391258,-87.63857492,41.892507781,-87.626214906,3.8,,17031081500.0,Cash,,660.0,8.0,0.0
55,7,10.45,11,13,1,1383483600,41.921701492,-87.65591184799999,41.892507781,-87.626214906,0.1,,17031081500.0,Cash,Taxi Affiliation Services,960.0,8.0,0.0
56,6,11.25,10,8,5,1444896900,41.943155086,-87.640698076,41.892507781,-87.626214906,3.4,,17031081500.0,Cash,,840.0,8.0,0.0
57,28,11.25,12,12,2,1386592200,41.867902418,-87.642958665,41.892507781,-87.626214906,0.2,,17031081500.0,Credit Card,Taxi Affiliation Services,720.0,8.0,2.8
58,7,8.65,12,0,6,1418947200,41.92926299,-87.63589095399999,41.892507781,-87.626214906,0.1,,17031081500.0,Cash,Taxi Affiliation Services,360.0,8.0,0.0
59,6,16.45,2,23,7,1423351800,41.957530922,-87.66661144,41.892507781,-87.626214906,6.6,,17031081500.0,Cash,Chicago Medallion Management,960.0,8.0,0.0
60,6,12.65,3,23,7,1363474800,41.934659157,-87.646729729,41.892507781,-87.626214906,0.0,,17031081500.0,Credit Card,Taxi Affiliation Services,780.0,8.0,2.5
61,24,6.45,4,22,4,1366843500,41.892658108,-87.652534484,41.892507781,-87.626214906,0.0,,17031081500.0,Cash,Taxi Affiliation Services,360.0,8.0,0.0
62,7,9.45,12,11,4,1450868400,41.92926299,-87.63589095399999,41.892507781,-87.626214906,3.1,,17031081500.0,Cash,Taxi Affiliation Services,540.0,8.0,0.0
63,6,11.05,3,14,1,1394373600,41.942691844,-87.65177050700001,41.892507781,-87.626214906,0.2,,17031081500.0,Cash,Taxi Affiliation Services,540.0,8.0,0.0
64,33,11.75,9,12,2,1474891200,41.849246754,-87.624135298,41.892507781,-87.626214906,3.2,,17031081500.0,Credit Card,,720.0,8.0,2.0
65,3,5.25,3,18,7,1394907300,41.958154876,-87.653021789,41.957530922,-87.66661144,0.06,,17031060100.0,Credit Card,,360.0,6.0,2.0
66,22,9.05,2,21,2,1392671700,41.928619051,-87.685362024,41.957735565,-87.68371810200001,2.8,,17031050200.0,Cash,Dispatch Taxi Affiliation,600.0,5.0,0.0
67,6,6.05,4,0,7,1428107400,41.949139771,-87.65680390899999,41.957735565,-87.68371810200001,1.3,,17031050200.0,Cash,Dispatch Taxi Affiliation,300.0,5.0,0.0
68,7,5.65,1,19,1,1421610300,41.929046936999995,-87.65131087700001,41.921877461,-87.66407824,1.1,,17031832500.0,Cash,Taxi Affiliation Services,300.0,7.0,0.0
69,7,5.65,11,21,6,1448055900,41.921854911,-87.64621097700001,41.921877461,-87.66407824,1.0,,17031832500.0,Credit Card,Northwest Management LLC,300.0,7.0,2.0
70,41,26.05,3,15,1,1427038200,41.790506261,-87.58314371700001,41.921877461,-87.66407824,11.9,,17031832500.0,Cash,Top Cab Affiliation,1500.0,7.0,0.0
71,6,8.05,11,1,1,1385256600,41.94258518,-87.65664409200001,41.921877461,-87.66407824,0.0,,17031832500.0,Credit Card,Taxi Affiliation Services,540.0,7.0,1.5
72,6,9.25,2,14,7,1423924200,41.934762456,-87.639853859,41.921877461,-87.66407824,2.6,,17031832500.0,Credit Card,,780.0,7.0,1.25
73,22,5.65,7,22,7,1374962400,41.916005274,-87.67509511600001,41.921877461,-87.66407824,1.3,,17031832500.0,Credit Card,Taxi Affiliation Services,300.0,7.0,2.0
74,6,6.65,6,20,1,1402865100,41.942577185,-87.647078509,41.963633169,-87.652365359,1.4,,17031031502.0,Cash,,420.0,3.0,0.0
75,24,9.65,4,1,2,1397439000,41.906025969,-87.67531162200001,41.892042136,-87.63186395,0.2,,17031081700.0,Credit Card,Taxi Affiliation Services,420.0,8.0,2.1
76,7,12.85,9,21,1,1378071000,41.929077655,-87.646293476,41.892042136,-87.63186395,0.2,,17031081700.0,Credit Card,Taxi Affiliation Services,960.0,8.0,2.0
77,7,9.65,2,19,6,1393010100,41.922082541,-87.63415609299999,41.892042136,-87.63186395,2.3,,17031081700.0,Credit Card,,900.0,8.0,2.0
78,7,11.85,2,19,5,1360266300,41.929046936999995,-87.65131087700001,41.892042136,-87.63186395,3.6,,17031081700.0,Cash,,1140.0,8.0,0.0
79,24,8.45,7,20,7,1404592200,41.906025969,-87.67531162200001,41.892042136,-87.63186395,2.6,,17031081700.0,Cash,Top Cab Affiliation,420.0,8.0,0.0
80,22,10.65,2,20,6,1423253700,41.91922505,-87.671445766,41.892042136,-87.63186395,3.3,,17031081700.0,Cash,Taxi Affiliation Services,720.0,8.0,0.0
81,7,10.85,3,20,5,1362688200,41.921778188000005,-87.651061884,41.892042136,-87.63186395,3.2,,17031081700.0,Cash,,960.0,8.0,0.0
82,24,5.85,8,10,7,1440240300,41.892658108,-87.652534484,41.892042136,-87.63186395,1.9,,17031081700.0,Cash,Dispatch Taxi Affiliation,360.0,8.0,0.0
83,8,5.85,1,3,7,1422068400,41.905857769,-87.63086502700001,41.892042136,-87.63186395,1.3,,17031081700.0,Cash,Dispatch Taxi Affiliation,360.0,8.0,0.0
84,24,5.85,1,22,5,1389909600,41.892658108,-87.652534484,41.892042136,-87.63186395,0.0,,17031081700.0,Credit Card,Taxi Affiliation Services,360.0,8.0,2.0
85,7,10.65,6,18,6,1371840300,41.929077655,-87.646293476,41.892042136,-87.63186395,0.0,,17031081700.0,Cash,Dispatch Taxi Affiliation,1020.0,8.0,0.0
86,6,15.65,8,23,3,1439939700,41.949139771,-87.65680390899999,41.892042136,-87.63186395,6.1,,17031081700.0,Credit Card,KOAM Taxi Association,1020.0,8.0,3.5
87,6,16.45,11,19,6,1383334200,41.957530922,-87.66661144,41.892042136,-87.63186395,6.5,,17031081700.0,Cash,,1080.0,8.0,0.0
88,32,7.85,2,23,7,1393110000,41.87101588,-87.631406525,41.892042136,-87.63186395,1.9,,17031081700.0,Cash,,600.0,8.0,0.0
89,77,18.45,1,20,6,1390596300,41.979912445,-87.66418824200001,41.892042136,-87.63186395,8.1,,17031081700.0,Credit Card,,1020.0,8.0,2.0
90,66,3.25,2,2,6,1425003300,41.771848515,-87.69566634200001,41.771848515,-87.69566634200001,0.0,,,Cash,Taxi Affiliation Services,0.0,66.0,0.0
91,33,5.75,4,1,2,1460943900,41.857183858,-87.620334624,41.878865584,-87.625192142,0.8,,,Cash,Taxi Affiliation Services,180.0,32.0,0.0
92,33,7.05,9,23,3,1378854900,41.857183858,-87.620334624,41.878865584,-87.625192142,0.0,,,Credit Card,Blue Ribbon Taxi Association Inc.,420.0,32.0,1.0
93,4,25.45,2,9,5,1393493400,41.975170943,-87.687515515,41.878865584,-87.625192142,11.0,,,Cash,,1500.0,32.0,0.0
94,16,17.64,6,8,2,1434962700,41.953582125,-87.72345239,41.878865584,-87.625192142,7.2,,,Credit Card,,1620.0,32.0,1.5
95,14,21.25,12,4,4,1417579200,41.968069,-87.72155906299999,41.878865584,-87.625192142,9.3,,,Cash,,1080.0,32.0,0.0
96,31,11.25,10,18,6,1444416300,41.850266366,-87.66756931200001,41.878865584,-87.625192142,2.5,,,Credit Card,,1020.0,32.0,2.45
97,31,16.05,9,10,4,1409739300,41.850266366,-87.66756931200001,41.878865584,-87.625192142,6.5,,,Credit Card,Taxi Affiliation Services,1200.0,32.0,2.0
98,39,17.05,4,20,5,1397764800,41.808916283,-87.596183344,41.878865584,-87.625192142,0.4,,,Cash,Taxi Affiliation Services,1080.0,32.0,0.0
99,4,23.85,3,14,4,1364392800,41.975170943,-87.687515515,41.878865584,-87.625192142,0.6,,,Cash,Taxi Affiliation Services,1380.0,32.0,0.0
100,6,5.25,11,0,1,1384647300,41.950673358,-87.666536281,41.953400044,-87.64600706600001,0.1,,17031060800.0,Cash,,240.0,6.0,0.0
101,7,9.25,9,4,7,1379736000,41.929077655,-87.646293476,41.953400044,-87.64600706600001,0.2,,17031060800.0,Cash,Taxi Affiliation Services,420.0,6.0,0.0
102,7,3.75,12,20,2,1482177600,41.93057857,-87.64220631299999,41.93057857,-87.64220631299999,0.2,,17031070102.0,Cash,,60.0,7.0,0.0
103,6,6.25,6,3,7,1466824500,41.936310131,-87.651562592,41.93057857,-87.64220631299999,1.0,,17031070102.0,Cash,,360.0,7.0,0.0
104,28,38.45,10,9,2,1444036500,41.867902418,-87.642958665,41.97907082,-87.90303966100001,18.6,,17031980000.0,Cash,,2460.0,76.0,0.0
105,32,35.85,3,23,7,1425769200,41.87101588,-87.631406525,41.97907082,-87.90303966100001,17.7,,17031980000.0,Cash,Northwest Management LLC,1320.0,76.0,0.0
106,8,34.25,9,19,5,1380224700,41.904935302,-87.64990722600001,41.97907082,-87.90303966100001,16.7,,17031980000.0,Credit Card,Top Cab Affiliation,1980.0,76.0,7.45
107,7,32.25,7,10,4,1372846500,41.926811182,-87.642605247,41.97907082,-87.90303966100001,0.0,,17031980000.0,Cash,Taxi Affiliation Services,1680.0,76.0,0.0
108,33,42.25,6,10,3,1372156200,41.849246754,-87.624135298,41.97907082,-87.90303966100001,0.0,,17031980000.0,Credit Card,Taxi Affiliation Services,2040.0,76.0,8.85
109,33,42.45,6,17,4,1403110800,41.849246754,-87.624135298,41.97907082,-87.90303966100001,20.5,,17031980000.0,Credit Card,,3300.0,76.0,7.0
110,5,28.85,9,5,2,1410759000,41.950545696,-87.67618249600001,41.97907082,-87.90303966100001,13.3,,17031980000.0,Cash,,1740.0,76.0,0.0
111,7,33.04,1,9,3,1422351900,41.92926299,-87.63589095399999,41.97907082,-87.90303966100001,15.7,,17031980000.0,Credit Card,,1680.0,76.0,7.0
112,8,34.65,6,4,2,1403497800,41.905857769,-87.63086502700001,41.97907082,-87.90303966100001,1.71,,17031980000.0,Credit Card,,1380.0,76.0,7.33
113,8,36.04,4,7,3,1430207100,41.909495669,-87.630963601,41.97907082,-87.90303966100001,16.5,,17031980000.0,Cash,,2940.0,76.0,0.0
114,33,50.25,6,15,3,1465314300,41.849246754,-87.624135298,41.97907082,-87.90303966100001,0.0,,17031980000.0,Credit Card,Taxi Affiliation Services,3300.0,76.0,12.55
115,16,17.64,10,22,1,1414362600,41.953582125,-87.72345239,42.009622881,-87.67016685700001,7.0,,,Credit Card,,1380.0,1.0,4.66
116,12,11.45,7,20,5,1406839500,41.993930128,-87.75835358799999,42.009622881,-87.67016685700001,0.0,,,Cash,Blue Ribbon Taxi Association Inc.,960.0,1.0,0.0
117,2,6.65,2,7,3,1392103800,42.001571027,-87.695012589,42.009622881,-87.67016685700001,1.3,,,Cash,,480.0,1.0,0.0
118,13,11.05,4,21,4,1429739100,41.983636307,-87.723583185,42.009622881,-87.67016685700001,0.2,,,Credit Card,Taxi Affiliation Services,660.0,1.0,2.2
119,23,3.25,9,0,1,1379205000,41.900069603,-87.720918238,41.900069603,-87.720918238,0.0,,,Cash,Choice Taxi Association,0.0,23.0,0.0
120,7,4.45,1,3,1,1390103100,41.921778188000005,-87.651061884,41.921778356,-87.641459759,0.0,,17031071300.0,Cash,Blue Ribbon Taxi Association Inc.,180.0,7.0,0.0
121,7,6.05,4,0,1,1365293700,41.92926299,-87.63589095399999,41.921778356,-87.641459759,1.3,,17031071300.0,Cash,,420.0,7.0,0.0
122,7,3.85,4,16,1,1430064900,41.92926299,-87.63589095399999,41.921778356,-87.641459759,0.3,,17031071300.0,Cash,,60.0,7.0,0.0
123,10,18.45,9,3,7,1443236400,41.985015101,-87.804532006,41.96581197,-87.655878786,0.5,,,Cash,Taxi Affiliation Services,1320.0,3.0,0.0
124,14,9.85,3,1,7,1362793500,41.968069,-87.72155906299999,41.96581197,-87.655878786,3.4,,,Cash,,540.0,3.0,0.0
125,4,8.65,8,15,5,1408634100,41.975170943,-87.687515515,41.96581197,-87.655878786,0.0,,,Credit Card,Taxi Affiliation Services,720.0,3.0,1.0
126,7,8.45,8,0,7,1377305100,41.93057857,-87.64220631299999,41.900265687,-87.63210922,0.0,,17031081000.0,Cash,Taxi Affiliation Services,720.0,8.0,0.0
127,6,9.85,6,22,2,1433803500,41.934659157,-87.646729729,41.900265687,-87.63210922,3.1,,17031081000.0,Credit Card,Dispatch Taxi Affiliation,720.0,8.0,2.0
128,7,5.05,6,19,6,1372447800,41.921778188000005,-87.651061884,41.914747305,-87.654007029,0.0,,17031832600.0,Cash,Taxi Affiliation Services,240.0,7.0,0.0
129,8,3.85,12,23,3,1417563000,41.904935302,-87.64990722600001,41.914747305,-87.654007029,0.2,,17031832600.0,Credit Card,Choice Taxi Association,120.0,7.0,3.0
130,24,6.25,7,13,5,1372942800,41.906650766,-87.66533766,41.914747305,-87.654007029,0.0,,17031832600.0,Cash,Taxi Affiliation Services,300.0,7.0,0.0
131,6,6.85,3,3,1,1394334900,41.938232293,-87.646782081,41.914747305,-87.654007029,0.0,,17031832600.0,Cash,Choice Taxi Association,480.0,7.0,0.0
132,8,3.65,2,17,4,1391620500,41.904935302,-87.64990722600001,41.914747305,-87.654007029,0.0,,17031832600.0,Cash,Taxi Affiliation Services,0.0,7.0,0.0
133,6,8.45,10,19,5,1414092600,41.936310131,-87.651562592,41.914747305,-87.654007029,0.1,,17031832600.0,Credit Card,Taxi Affiliation Services,780.0,7.0,3.0
134,6,7.85,5,20,3,1367959500,41.94258518,-87.65664409200001,41.914747305,-87.654007029,2.1,,17031832600.0,Cash,,540.0,7.0,0.0
135,24,7.85,9,0,7,1411776900,41.899589796,-87.674719134,41.928431564,-87.699968591,2.1,,17031220400.0,Cash,Dispatch Taxi Affiliation,600.0,22.0,0.0
136,6,10.65,8,2,1,1440900900,41.949139771,-87.65680390899999,41.928431564,-87.699968591,3.6,,17031220400.0,Credit Card,,780.0,22.0,2.0
137,29,19.65,9,21,6,1442006100,41.860762262,-87.70069190299999,41.928431564,-87.699968591,8.55,,17031220400.0,Cash,,1020.0,22.0,0.0
138,16,6.25,6,20,7,1403987400,41.953582125,-87.72345239,41.938666196,-87.71121059299999,1.3,,,Cash,Northwest Management LLC,300.0,21.0,0.0
139,16,5.25,9,5,1,1378617300,41.953582125,-87.72345239,41.938666196,-87.71121059299999,1.1,,,Credit Card,,120.0,21.0,2.0
140,16,8.25,10,8,6,1381478400,41.953582125,-87.72345239,41.938666196,-87.71121059299999,0.0,,,Cash,Taxi Affiliation Services,540.0,21.0,0.0
141,21,4.45,11,9,6,1416561300,41.938666196,-87.71121059299999,41.938666196,-87.71121059299999,0.71,,,Cash,,180.0,21.0,0.0
142,21,3.25,11,10,6,1383301800,41.938666196,-87.71121059299999,41.938666196,-87.71121059299999,0.0,,,Cash,Taxi Affiliation Services,0.0,21.0,0.0
143,21,7.45,7,10,5,1404986400,41.938666196,-87.71121059299999,41.938666196,-87.71121059299999,1.4,,,Credit Card,,540.0,21.0,0.0
144,7,10.05,7,0,1,1406421000,41.921854911,-87.64621097700001,41.958154876,-87.653021789,3.6,,17031032100.0,Credit Card,5129 - Mengisti Taxi,540.0,3.0,2.4
145,6,5.25,10,22,7,1445121000,41.942691844,-87.65177050700001,41.958154876,-87.653021789,0.8,,17031032100.0,Cash,Top Cab Affiliation,300.0,3.0,0.0
146,3,3.25,9,17,1,1442768400,41.958154876,-87.653021789,41.958154876,-87.653021789,6.5,,17031032100.0,Cash,Choice Taxi Association,0.0,3.0,0.0
147,6,6.25,6,2,2,1403490600,41.943237122,-87.643470956,41.958154876,-87.653021789,1.4,,17031032100.0,Cash,,360.0,3.0,0.0
148,59,3.25,1,13,6,1388756700,41.833517885999996,-87.681355829,41.833517885999996,-87.681355829,0.0,,17031840300.0,Cash,Taxi Affiliation Services,0.0,59.0,0.0
149,7,3.25,10,23,5,1383261300,41.928967266,-87.656156831,41.928967266,-87.656156831,0.0,,17031070400.0,Cash,Blue Ribbon Taxi Association Inc.,0.0,7.0,0.0
150,24,11.25,12,20,6,1386360900,41.899506548000005,-87.67960028700001,41.928967266,-87.656156831,3.4,,17031070400.0,Cash,Taxi Affiliation Services,1020.0,7.0,0.0
151,8,7.25,7,17,7,1405791000,41.907412816,-87.640901525,41.921778188000005,-87.651061884,1.5,,17031071100.0,Cash,Dispatch Taxi Affiliation,600.0,7.0,0.0
152,7,4.45,11,1,5,1417050000,41.921854911,-87.64621097700001,41.921778188000005,-87.651061884,0.5,,17031071100.0,Credit Card,Northwest Management LLC,180.0,7.0,2.0
153,7,6.65,3,20,7,1395519300,41.929077655,-87.646293476,41.921778188000005,-87.651061884,1.6,,17031071100.0,Credit Card,Taxi Affiliation Services,480.0,7.0,2.0
154,7,5.25,5,3,7,1400298300,41.921854911,-87.64621097700001,41.921778188000005,-87.651061884,0.9,,17031071100.0,Credit Card,Dispatch Taxi Affiliation,240.0,7.0,2.0
155,7,6.05,6,16,6,1403885700,41.922082541,-87.63415609299999,41.921778188000005,-87.651061884,1.1,,17031071100.0,Cash,,420.0,7.0,0.0
156,5,8.45,2,22,7,1424557800,41.94136566,-87.680826903,41.921778188000005,-87.651061884,2.2,,17031071100.0,Cash,Dispatch Taxi Affiliation,600.0,7.0,0.0
157,8,6.45,2,20,4,1392237000,41.904935302,-87.64990722600001,41.914616286,-87.631717366,1.3,,17031071500.0,Cash,,420.0,7.0,0.0
158,7,4.84,1,21,1,1358717400,41.921854911,-87.64621097700001,41.914616286,-87.631717366,0.7,,17031071500.0,Cash,,240.0,7.0,0.0
159,6,7.45,10,18,1,1381688100,41.934762456,-87.639853859,41.914616286,-87.631717366,0.0,,17031071500.0,Cash,Taxi Affiliation Services,540.0,7.0,0.0
160,7,6.05,10,22,1,1381704300,41.92926299,-87.63589095399999,41.914616286,-87.631717366,0.0,,17031071500.0,Credit Card,Blue Ribbon Taxi Association Inc.,360.0,7.0,2.0
161,8,8.25,4,17,3,1398187800,41.904935302,-87.64990722600001,41.914616286,-87.631717366,1.8,,17031071500.0,Credit Card,,540.0,7.0,2.0
162,7,4.45,7,20,4,1406148300,41.922082541,-87.63415609299999,41.914616286,-87.631717366,0.4,,17031071500.0,Cash,,120.0,7.0,0.0
163,7,6.45,2,7,5,1424331900,41.929077655,-87.646293476,41.914616286,-87.631717366,1.5,,17031071500.0,Cash,Taxi Affiliation Services,360.0,7.0,0.0
164,3,10.65,10,10,6,1413541800,41.962178629,-87.645378762,41.914616286,-87.631717366,0.2,,17031071500.0,Cash,Taxi Affiliation Services,480.0,7.0,0.0
165,6,8.25,12,1,1,1387676700,41.936310131,-87.651562592,41.914616286,-87.631717366,2.3,,17031071500.0,Cash,Taxi Affiliation Services,600.0,7.0,0.0
166,6,8.25,7,0,2,1372636800,41.946489764,-87.647113634,41.914616286,-87.631717366,0.0,,17031071500.0,Credit Card,Dispatch Taxi Affiliation,600.0,7.0,2.0
167,8,6.65,6,8,6,1433492100,41.905857769,-87.63086502700001,41.914616286,-87.631717366,1.6,,17031071500.0,Credit Card,,360.0,7.0,2.0
168,7,5.05,4,0,5,1430352900,41.929077655,-87.646293476,41.914616286,-87.631717366,1.0,,17031071500.0,Credit Card,Taxi Affiliation Services,180.0,7.0,3.0
169,7,5.45,9,20,6,1379104200,41.921854911,-87.64621097700001,41.914616286,-87.631717366,0.0,,17031071500.0,Cash,Taxi Affiliation Services,300.0,7.0,0.0
170,6,8.45,6,2,7,1370658600,41.941488234,-87.671107656,41.914616286,-87.631717366,0.0,,17031071500.0,Cash,Dispatch Taxi Affiliation,540.0,7.0,0.0
171,6,8.25,8,18,7,1408212000,41.950673358,-87.666536281,41.972562538000005,-87.678845966,2.4,,17031040402.0,Cash,Top Cab Affiliation,480.0,4.0,0.0
172,5,9.05,2,19,6,1391800500,41.945010151,-87.680928225,41.972562538000005,-87.678845966,0.0,,17031040402.0,Cash,Northwest Management LLC,840.0,4.0,0.0
173,2,25.05,12,9,3,1386666000,42.001571027,-87.695012589,41.899602111,-87.633308037,9.5,,,Credit Card,,2520.0,8.0,5.01
