pickup_community_area,fare,trip_start_month,trip_start_hour,trip_start_day,trip_start_timestamp,pickup_longitude,dropoff_latitude,dropoff_longitude,trip_miles,dropoff_census_tract,payment_type,company,trip_seconds,dropoff_community_area,tips
2,3.25,8,19,2,1441047600,-87.69501259,42.00157103,-87.69501259,0,,Cash,Blue Ribbon Taxi Association Inc.,60,2,0
2,3.25,3,6,2,1394432100,-87.69501259,42.00157103,-87.69501259,0,,Cash,,0,2,0
14,9.85,6,18,3,1370973600,-87.72155906,42.00157103,-87.69501259,2.4,,Cash,,900,2,0
4,9.45,3,22,5,1426805100,-87.68751552,42.00157103,-87.69501259,3.1,,Cash,,600,2,0
2,5.85,10,0,7,1412985600,-87.69501259,42.00157103,-87.69501259,0.95,,Credit Card,,300,2,0.88
2,3.25,1,9,1,1422179100,-87.69501259,42.00157103,-87.69501259,0,,Cash,Blue Ribbon Taxi Association Inc.,0,2,0
2,3.25,5,17,4,1432143000,-87.69501259,42.00157103,-87.69501259,0,,Cash,Taxi Affiliation Services,0,2,0
21,10.45,12,23,1,1387151100,-87.71121059,41.90120699,-87.67635599,3.2,,Cash,Taxi Affiliation Services,720,24,0
3,5.25,10,17,7,1382202000,-87.65734111,41.97243708,-87.67110953,0,17031031000,Cash,Blue Ribbon Taxi Association Inc.,360,3,0
6,7.45,6,17,1,1370195100,-87.6605035,41.97243708,-87.67110953,1.9,17031031000,Cash,,480,3,0
3,6.65,8,15,1,1438527600,-87.67110953,41.97243708,-87.67110953,0.7,17031031000,Cash,,540,3,0
24,12.25,1,2,1,1389492000,-87.67094508,41.97243708,-87.67110953,0.2,17031031000,Cash,Taxi Affiliation Services,720,3,0
8,6.05,7,21,3,1374009300,-87.63086503,41.89250778,-87.62621491,0,17031081500,Cash,Choice Taxi Association,420,8,0
8,8.45,2,21,5,1424984400,-87.64090153,41.89250778,-87.62621491,1.9,17031081500,Cash,Taxi Affiliation Services,780,8,0
7,12.65,12,20,5,1386878400,-87.64260525,41.89250778,-87.62621491,0.2,17031081500,Cash,Blue Ribbon Taxi Association Inc.,1320,8,0
7,8.85,9,19,1,1379877300,-87.64621098,41.89250778,-87.62621491,2.5,17031081500,Credit Card,Dispatch Taxi Affiliation,660,8,2
6,11.25,7,0,7,1435968000,-87.63857492,41.89250778,-87.62621491,3.8,17031081500,Cash,,660,8,0
7,10.45,11,13,1,1383483600,-87.65591185,41.89250778,-87.62621491,0.1,17031081500,Cash,Taxi Affiliation Services,960,8,0
6,11.25,10,8,5,1444896900,-87.64069808,41.89250778,-87.62621491,3.4,17031081500,Cash,,840,8,0
28,11.25,12,12,2,1386592200,-87.64295867,41.89250778,-87.62621491,0.2,17031081500,Credit Card,Taxi Affiliation Services,720,8,2.8
7,8.65,12,0,6,1418947200,-87.63589095,41.89250778,-87.62621491,0.1,17031081500,Cash,Taxi Affiliation Services,360,8,0
6,16.45,2,23,7,1423351800,-87.66661144,41.89250778,-87.62621491,6.6,17031081500,Cash,Chicago Medallion Management,960,8,0
6,12.65,3,23,7,1363474800,-87.64672973,41.89250778,-87.62621491,0,17031081500,Credit Card,Taxi Affiliation Services,780,8,2.5
24,6.45,4,22,4,1366843500,-87.65253448,41.89250778,-87.62621491,0,17031081500,Cash,Taxi Affiliation Services,360,8,0
7,9.45,12,11,4,1450868400,-87.63589095,41.89250778,-87.62621491,3.1,17031081500,Cash,Taxi Affiliation Services,540,8,0
6,11.05,3,14,1,1394373600,-87.65177051,41.89250778,-87.62621491,0.2,17031081500,Cash,Taxi Affiliation Services,540,8,0
33,11.75,9,12,2,1474891200,-87.6241353,41.89250778,-87.62621491,3.2,17031081500,Credit Card,,720,8,2
3,5.25,3,18,7,1394907300,-87.65302179,41.95753092,-87.66661144,0.06,17031060100,Credit Card,,360,6,2
22,9.05,2,21,2,1392671700,-87.68536202,41.95773557,-87.6837181,2.8,17031050200,Cash,Dispatch Taxi Affiliation,600,5,0
6,6.05,4,0,7,1428107400,-87.65680391,41.95773557,-87.6837181,1.3,17031050200,Cash,Dispatch Taxi Affiliation,300,5,0
7,5.65,1,19,1,1421610300,-87.65131088,41.92187746,-87.66407824,1.1,17031832500,Cash,Taxi Affiliation Services,300,7,0
7,5.65,11,21,6,1448055900,-87.64621098,41.92187746,-87.66407824,1,17031832500,Credit Card,Northwest Management LLC,300,7,2
41,26.05,3,15,1,1427038200,-87.58314372,41.92187746,-87.66407824,11.9,17031832500,Cash,Top Cab Affiliation,1500,7,0
6,8.05,11,1,1,1385256600,-87.65664409,41.92187746,-87.66407824,0,17031832500,Credit Card,Taxi Affiliation Services,540,7,1.5
6,9.25,2,14,7,1423924200,-87.63985386,41.92187746,-87.66407824,2.6,17031832500,Credit Card,,780,7,1.25
22,5.65,7,22,7,1374962400,-87.67509512,41.92187746,-87.66407824,1.3,17031832500,Credit Card,Taxi Affiliation Services,300,7,2
6,6.65,6,20,1,1402865100,-87.64707851,41.96363317,-87.65236536,1.4,17031031502,Cash,,420,3,0
24,9.65,4,1,2,1397439000,-87.67531162,41.89204214,-87.63186395,0.2,17031081700,Credit Card,Taxi Affiliation Services,420,8,2.1
7,12.85,9,21,1,1378071000,-87.64629348,41.89204214,-87.63186395,0.2,17031081700,Credit Card,Taxi Affiliation Services,960,8,2
7,9.65,2,19,6,1393010100,-87.63415609,41.89204214,-87.63186395,2.3,17031081700,Credit Card,,900,8,2
7,11.85,2,19,5,1360266300,-87.65131088,41.89204214,-87.63186395,3.6,17031081700,Cash,,1140,8,0
24,8.45,7,20,7,1404592200,-87.67531162,41.89204214,-87.63186395,2.6,17031081700,Cash,Top Cab Affiliation,420,8,0
22,10.65,2,20,6,1423253700,-87.67144577,41.89204214,-87.63186395,3.3,17031081700,Cash,Taxi Affiliation Services,720,8,0
7,10.85,3,20,5,1362688200,-87.65106188,41.89204214,-87.63186395,3.2,17031081700,Cash,,960,8,0
24,5.85,8,10,7,1440240300,-87.65253448,41.89204214,-87.63186395,1.9,17031081700,Cash,Dispatch Taxi Affiliation,360,8,0
8,5.85,1,3,7,1422068400,-87.63086503,41.89204214,-87.63186395,1.3,17031081700,Cash,Dispatch Taxi Affiliation,360,8,0
24,5.85,1,22,5,1389909600,-87.65253448,41.89204214,-87.63186395,0,17031081700,Credit Card,Taxi Affiliation Services,360,8,2
7,10.65,6,18,6,1371840300,-87.64629348,41.89204214,-87.63186395,0,17031081700,Cash,Dispatch Taxi Affiliation,1020,8,0
6,15.65,8,23,3,1439939700,-87.65680391,41.89204214,-87.63186395,6.1,17031081700,Credit Card,KOAM Taxi Association,1020,8,3.5
6,16.45,11,19,6,1383334200,-87.66661144,41.89204214,-87.63186395,6.5,17031081700,Cash,,1080,8,0
32,7.85,2,23,7,1393110000,-87.63140653,41.89204214,-87.63186395,1.9,17031081700,Cash,,600,8,0
77,18.45,1,20,6,1390596300,-87.66418824,41.89204214,-87.63186395,8.1,17031081700,Credit Card,,1020,8,2
66,3.25,2,2,6,1425003300,-87.69566634,41.77184852,-87.69566634,0,,Cash,Taxi Affiliation Services,0,66,0
33,5.75,4,1,2,1460943900,-87.62033462,41.87886558,-87.62519214,0.8,,Cash,Taxi Affiliation Services,180,32,0
33,7.05,9,23,3,1378854900,-87.62033462,41.87886558,-87.62519214,0,,Credit Card,Blue Ribbon Taxi Association Inc.,420,32,1
4,25.45,2,9,5,1393493400,-87.68751552,41.87886558,-87.62519214,11,,Cash,,1500,32,0
16,17.64,6,8,2,1434962700,-87.72345239,41.87886558,-87.62519214,7.2,,Credit Card,,1620,32,1.5
14,21.25,12,4,4,1417579200,-87.72155906,41.87886558,-87.62519214,9.3,,Cash,,1080,32,0
31,11.25,10,18,6,1444416300,-87.66756931,41.87886558,-87.62519214,2.5,,Credit Card,,1020,32,2.45
31,16.05,9,10,4,1409739300,-87.66756931,41.87886558,-87.62519214,6.5,,Credit Card,Taxi Affiliation Services,1200,32,2
39,17.05,4,20,5,1397764800,-87.59618334,41.87886558,-87.62519214,0.4,,Cash,Taxi Affiliation Services,1080,32,0
4,23.85,3,14,4,1364392800,-87.68751552,41.87886558,-87.62519214,0.6,,Cash,Taxi Affiliation Services,1380,32,0
6,5.25,11,0,1,1384647300,-87.66653628,41.95340004,-87.64600707,0.1,17031060800,Cash,,240,6,0
7,9.25,9,4,7,1379736000,-87.64629348,41.95340004,-87.64600707,0.2,17031060800,Cash,Taxi Affiliation Services,420,6,0
7,3.75,12,20,2,1482177600,-87.64220631,41.93057857,-87.64220631,0.2,17031070102,Cash,,60,7,0
6,6.25,6,3,7,1466824500,-87.65156259,41.93057857,-87.64220631,1,17031070102,Cash,,360,7,0
28,38.45,10,9,2,1444036500,-87.64295867,41.97907082,-87.90303966,18.6,17031980000,Cash,,2460,76,0
32,35.85,3,23,7,1425769200,-87.63140653,41.97907082,-87.90303966,17.7,17031980000,Cash,Northwest Management LLC,1320,76,0
8,34.25,9,19,5,1380224700,-87.64990723,41.97907082,-87.90303966,16.7,17031980000,Credit Card,Top Cab Affiliation,1980,76,7.45
7,32.25,7,10,4,1372846500,-87.64260525,41.97907082,-87.90303966,0,17031980000,Cash,Taxi Affiliation Services,1680,76,0
33,42.25,6,10,3,1372156200,-87.6241353,41.97907082,-87.90303966,0,17031980000,Credit Card,Taxi Affiliation Services,2040,76,8.85
33,42.45,6,17,4,1403110800,-87.6241353,41.97907082,-87.90303966,20.5,17031980000,Credit Card,,3300,76,7
5,28.85,9,5,2,1410759000,-87.6761825,41.97907082,-87.90303966,13.3,17031980000,Cash,,1740,76,0
7,33.04,1,9,3,1422351900,-87.63589095,41.97907082,-87.90303966,15.7,17031980000,Credit Card,,1680,76,7
8,34.65,6,4,2,1403497800,-87.63086503,41.97907082,-87.90303966,1.71,17031980000,Credit Card,,1380,76,7.33
8,36.04,4,7,3,1430207100,-87.6309636,41.97907082,-87.90303966,16.5,17031980000,Cash,,2940,76,0
33,50.25,6,15,3,1465314300,-87.6241353,41.97907082,-87.90303966,0,17031980000,Credit Card,Taxi Affiliation Services,3300,76,12.55
16,17.64,10,22,1,1414362600,-87.72345239,42.00962288,-87.67016686,7,,Credit Card,,1380,1,4.66
12,11.45,7,20,5,1406839500,-87.75835359,42.00962288,-87.67016686,0,,Cash,Blue Ribbon Taxi Association Inc.,960,1,0
2,6.65,2,7,3,1392103800,-87.69501259,42.00962288,-87.67016686,1.3,,Cash,,480,1,0
13,11.05,4,21,4,1429739100,-87.72358319,42.00962288,-87.67016686,0.2,,Credit Card,Taxi Affiliation Services,660,1,2.2
23,3.25,9,0,1,1379205000,-87.72091824,41.9000696,-87.72091824,0,,Cash,Choice Taxi Association,0,23,0
7,4.45,1,3,1,1390103100,-87.65106188,41.92177836,-87.64145976,0,17031071300,Cash,Blue Ribbon Taxi Association Inc.,180,7,0
7,6.05,4,0,1,1365293700,-87.63589095,41.92177836,-87.64145976,1.3,17031071300,Cash,,420,7,0
7,3.85,4,16,1,1430064900,-87.63589095,41.92177836,-87.64145976,0.3,17031071300,Cash,,60,7,0
10,18.45,9,3,7,1443236400,-87.80453201,41.96581197,-87.65587879,0.5,,Cash,Taxi Affiliation Services,1320,3,0
14,9.85,3,1,7,1362793500,-87.72155906,41.96581197,-87.65587879,3.4,,Cash,,540,3,0
4,8.65,8,15,5,1408634100,-87.68751552,41.96581197,-87.65587879,0,,Credit Card,Taxi Affiliation Services,720,3,1
7,8.45,8,0,7,1377305100,-87.64220631,41.90026569,-87.63210922,0,17031081000,Cash,Taxi Affiliation Services,720,8,0
6,9.85,6,22,2,1433803500,-87.64672973,41.90026569,-87.63210922,3.1,17031081000,Credit Card,Dispatch Taxi Affiliation,720,8,2
7,5.05,6,19,6,1372447800,-87.65106188,41.91474731,-87.65400703,0,17031832600,Cash,Taxi Affiliation Services,240,7,0
8,3.85,12,23,3,1417563000,-87.64990723,41.91474731,-87.65400703,0.2,17031832600,Credit Card,Choice Taxi Association,120,7,3
24,6.25,7,13,5,1372942800,-87.66533766,41.91474731,-87.65400703,0,17031832600,Cash,Taxi Affiliation Services,300,7,0
6,6.85,3,3,1,1394334900,-87.64678208,41.91474731,-87.65400703,0,17031832600,Cash,Choice Taxi Association,480,7,0
8,3.65,2,17,4,1391620500,-87.64990723,41.91474731,-87.65400703,0,17031832600,Cash,Taxi Affiliation Services,0,7,0
6,8.45,10,19,5,1414092600,-87.65156259,41.91474731,-87.65400703,0.1,17031832600,Credit Card,Taxi Affiliation Services,780,7,3
6,7.85,5,20,3,1367959500,-87.65664409,41.91474731,-87.65400703,2.1,17031832600,Cash,,540,7,0
24,7.85,9,0,7,1411776900,-87.67471913,41.92843156,-87.69996859,2.1,17031220400,Cash,Dispatch Taxi Affiliation,600,22,0
6,10.65,8,2,1,1440900900,-87.65680391,41.92843156,-87.69996859,3.6,17031220400,Credit Card,,780,22,2
29,19.65,9,21,6,1442006100,-87.7006919,41.92843156,-87.69996859,8.55,17031220400,Cash,,1020,22,0
16,6.25,6,20,7,1403987400,-87.72345239,41.9386662,-87.71121059,1.3,,Cash,Northwest Management LLC,300,21,0
16,5.25,9,5,1,1378617300,-87.72345239,41.9386662,-87.71121059,1.1,,Credit Card,,120,21,2
16,8.25,10,8,6,1381478400,-87.72345239,41.9386662,-87.71121059,0,,Cash,Taxi Affiliation Services,540,21,0
21,4.45,11,9,6,1416561300,-87.71121059,41.9386662,-87.71121059,0.71,,Cash,,180,21,0
21,3.25,11,10,6,1383301800,-87.71121059,41.9386662,-87.71121059,0,,Cash,Taxi Affiliation Services,0,21,0
21,7.45,7,10,5,1404986400,-87.71121059,41.9386662,-87.71121059,1.4,,Credit Card,,540,21,0
7,10.05,7,0,1,1406421000,-87.64621098,41.95815488,-87.65302179,3.6,17031032100,Credit Card,5129 - Mengisti Taxi,540,3,2.4
6,5.25,10,22,7,1445121000,-87.65177051,41.95815488,-87.65302179,0.8,17031032100,Cash,Top Cab Affiliation,300,3,0
3,3.25,9,17,1,1442768400,-87.65302179,41.95815488,-87.65302179,6.5,17031032100,Cash,Choice Taxi Association,0,3,0
6,6.25,6,2,2,1403490600,-87.64347096,41.95815488,-87.65302179,1.4,17031032100,Cash,,360,3,0
59,3.25,1,13,6,1388756700,-87.68135583,41.83351789,-87.68135583,0,17031840300,Cash,Taxi Affiliation Services,0,59,0
7,3.25,10,23,5,1383261300,-87.65615683,41.92896727,-87.65615683,0,17031070400,Cash,Blue Ribbon Taxi Association Inc.,0,7,0
24,11.25,12,20,6,1386360900,-87.67960029,41.92896727,-87.65615683,3.4,17031070400,Cash,Taxi Affiliation Services,1020,7,0
8,7.25,7,17,7,1405791000,-87.64090153,41.92177819,-87.65106188,1.5,17031071100,Cash,Dispatch Taxi Affiliation,600,7,0
7,4.45,11,1,5,1417050000,-87.64621098,41.92177819,-87.65106188,0.5,17031071100,Credit Card,Northwest Management LLC,180,7,2
7,6.65,3,20,7,1395519300,-87.64629348,41.92177819,-87.65106188,1.6,17031071100,Credit Card,Taxi Affiliation Services,480,7,2
7,5.25,5,3,7,1400298300,-87.64621098,41.92177819,-87.65106188,0.9,17031071100,Credit Card,Dispatch Taxi Affiliation,240,7,2
7,6.05,6,16,6,1403885700,-87.63415609,41.92177819,-87.65106188,1.1,17031071100,Cash,,420,7,0
5,8.45,2,22,7,1424557800,-87.6808269,41.92177819,-87.65106188,2.2,17031071100,Cash,Dispatch Taxi Affiliation,600,7,0
8,6.45,2,20,4,1392237000,-87.64990723,41.91461629,-87.63171737,1.3,17031071500,Cash,,420,7,0
7,4.84,1,21,1,1358717400,-87.64621098,41.91461629,-87.63171737,0.7,17031071500,Cash,,240,7,0
6,7.45,10,18,1,1381688100,-87.63985386,41.91461629,-87.63171737,0,17031071500,Cash,Taxi Affiliation Services,540,7,0
7,6.05,10,22,1,1381704300,-87.63589095,41.91461629,-87.63171737,0,17031071500,Credit Card,Blue Ribbon Taxi Association Inc.,360,7,2
8,8.25,4,17,3,1398187800,-87.64990723,41.91461629,-87.63171737,1.8,17031071500,Credit Card,,540,7,2
7,4.45,7,20,4,1406148300,-87.63415609,41.91461629,-87.63171737,0.4,17031071500,Cash,,120,7,0
7,6.45,2,7,5,1424331900,-87.64629348,41.91461629,-87.63171737,1.5,17031071500,Cash,Taxi Affiliation Services,360,7,0
3,10.65,10,10,6,1413541800,-87.64537876,41.91461629,-87.63171737,0.2,17031071500,Cash,Taxi Affiliation Services,480,7,0
6,8.25,12,1,1,1387676700,-87.65156259,41.91461629,-87.63171737,2.3,17031071500,Cash,Taxi Affiliation Services,600,7,0
6,8.25,7,0,2,1372636800,-87.64711363,41.91461629,-87.63171737,0,17031071500,Credit Card,Dispatch Taxi Affiliation,600,7,2
8,6.65,6,8,6,1433492100,-87.63086503,41.91461629,-87.63171737,1.6,17031071500,Credit Card,,360,7,2
7,5.05,4,0,5,1430352900,-87.64629348,41.91461629,-87.63171737,1,17031071500,Credit Card,Taxi Affiliation Services,180,7,3
7,5.45,9,20,6,1379104200,-87.64621098,41.91461629,-87.63171737,0,17031071500,Cash,Taxi Affiliation Services,300,7,0
6,8.45,6,2,7,1370658600,-87.67110766,41.91461629,-87.63171737,0,17031071500,Cash,Dispatch Taxi Affiliation,540,7,0
6,8.25,8,18,7,1408212000,-87.66653628,41.97256254,-87.67884597,2.4,17031040402,Cash,Top Cab Affiliation,480,4,0
5,9.05,2,19,6,1391800500,-87.68092823,41.97256254,-87.67884597,0,17031040402,Cash,Northwest Management LLC,840,4,0
2,25.05,12,9,3,1386666000,-87.69501259,41.89960211,-87.63330804,9.5,,Credit Card,,2520,8,5.01
31,13.05,7,21,2,1436823900,-87.66756931,41.89960211,-87.63330804,0.2,,Cash,Blue Ribbon Taxi Association Inc.,960,8,0
33,16.65,12,21,5,1450993500,-87.62033462,41.89960211,-87.63330804,5.8,,Cash,Taxi Affiliation Services,1260,8,0
2,21.05,1,14,4,1389795300,-87.69501259,41.89960211,-87.63330804,0,,Credit Card,Taxi Affiliation Services,1080,8,4
21,16.25,10,7,5,1381993200,-87.71121059,41.89960211,-87.63330804,0.65,,Cash,,1320,8,0
16,18.45,2,15,4,1423669500,-87.72345239,41.89960211,-87.63330804,0,,Cash,Taxi Affiliation Services,1200,8,0
33,13.65,12,12,2,1419855300,-87.62033462,41.89960211,-87.63330804,4,,Cash,,1380,8,0
6,9.5,5,18,6,1463164200,-87.65156259,41.93598891,-87.67096638,1.5,17031062600,Cash,Choice Taxi Association,960,6,0
7,7.85,3,19,7,1363462200,-87.64629348,41.93598891,-87.67096638,1.5,17031062600,Cash,,720,6,0
22,7.45,4,0,7,1429317000,-87.70490724,41.93598357,-87.67582193,1.8,17031051300,Credit Card,,420,5,2
3,7.85,5,22,6,1399672800,-87.66038946,41.93839126,-87.63857492,2.2,17031063200,Credit Card,Choice Taxi Association,420,6,2
6,6,8,18,7,1471717800,-87.64069808,41.93839126,-87.63857492,1,17031063200,Cash,Taxi Affiliation Services,360,6,0
3,7.05,9,19,7,1411844400,-87.64537876,41.93839126,-87.63857492,1.4,17031063200,Cash,Taxi Affiliation Services,540,6,0
7,7.45,9,23,6,1379115000,-87.64596621,41.93839126,-87.63857492,0.1,17031063200,Cash,Taxi Affiliation Services,480,6,0
32,5.05,9,18,4,1379529000,-87.63140653,41.87740612,-87.62197165,0,17031320400,Credit Card,Taxi Affiliation Services,300,32,2
24,17.85,9,15,7,1410620400,-87.70188456,41.87740612,-87.62197165,0,17031320400,Cash,Dispatch Taxi Affiliation,1740,32,0
6,14.25,9,9,6,1410515100,-87.63985386,41.87740612,-87.62197165,5.3,17031320400,Credit Card,Dispatch Taxi Affiliation,960,32,3
24,12.65,12,21,3,1388526300,-87.66962393,41.87740612,-87.62197165,3.7,17031320400,Cash,,1200,32,0
7,11.85,8,5,1,1375592400,-87.65106188,41.87740612,-87.62197165,0,17031320400,Cash,Dispatch Taxi Affiliation,660,32,0
4,25.45,9,5,2,1380519900,-87.68751552,41.98026432,-87.9136246,0,,Cash,Blue Ribbon Taxi Association Inc.,1200,76,0
17,21.65,9,21,2,1442264400,-87.80602,41.98026432,-87.9136246,9.2,,Cash,Taxi Affiliation Services,1320,76,0
4,26.45,8,6,6,1439533800,-87.68751552,41.98026432,-87.9136246,12.3,,Cash,Dispatch Taxi Affiliation,1380,76,0
14,26.05,3,20,6,1362772800,-87.72155906,41.98026432,-87.9136246,0,,Cash,Taxi Affiliation Services,1800,76,0
34,39.45,2,5,1,1424583000,-87.63397342,41.98026432,-87.9136246,1.2,,Credit Card,Taxi Affiliation Services,1380,76,7
11,14.05,10,16,1,1413132300,-87.7711667,41.98026432,-87.9136246,5.2,,Cash,Dispatch Taxi Affiliation,1020,76,0
10,20.25,9,17,3,1441733400,-87.80453201,41.98026432,-87.9136246,0,,Cash,Blue Ribbon Taxi Association Inc.,2040,76,0
14,38.05,6,7,3,1433833200,-87.72155906,41.79259236,-87.76961545,17.3,,Cash,,2640,56,0
73,22.05,11,6,2,1384754400,-87.64889507,41.79259236,-87.76961545,10,,Cash,Taxi Affiliation Services,1320,56,0
33,19.05,12,9,3,1418118300,-87.62033462,41.79259236,-87.76961545,8.4,,Cash,6057 - 24657 Richard Addo,840,56,0
6,12.45,4,22,6,1428705000,-87.66653628,41.9505457,-87.6761825,4.09,17031050600,Cash,,900,5,0
6,7.45,3,2,1,1426990500,-87.65177051,41.9505457,-87.6761825,1.7,17031050600,Cash,,600,5,0
7,4.25,2,20,7,1392495300,-87.65106188,41.91647332,-87.64118366,0.5,17031071600,Cash,Choice Taxi Association,180,7,0
6,4.25,12,22,7,1387664100,-87.64707851,41.93823229,-87.64678208,0,17031063100,Credit Card,Taxi Affiliation Services,180,6,1
6,5.45,1,14,1,1421590500,-87.64707851,41.93823229,-87.64678208,0.9,17031063100,Credit Card,Choice Taxi Association,300,6,3
6,3.25,5,20,7,1399753800,-87.64678208,41.93823229,-87.64678208,0,17031063100,Credit Card,,60,6,3
7,10.25,7,2,7,1436580900,-87.65615683,41.89830587,-87.65361398,0,17031842300,Credit Card,Blue Ribbon Taxi Association Inc.,840,24,2.05
24,4.65,3,21,6,1362777300,-87.65253448,41.89830587,-87.65361398,0,17031842300,Cash,Taxi Affiliation Services,180,24,0
6,13.45,11,3,7,1414810800,-87.65664409,41.89830587,-87.65361398,3.6,17031842300,Cash,,1380,24,0
24,7.65,1,19,7,1359228600,-87.66495392,41.89830587,-87.65361398,0.18,17031842300,Cash,,540,24,0
22,12.25,7,2,6,1435888800,-87.70490724,41.93476246,-87.63985386,4.3,17031063302,Credit Card,Dispatch Taxi Affiliation,900,6,1
24,12.45,5,17,7,1401558300,-87.66533766,41.93476246,-87.63985386,3.5,17031063302,Credit Card,,1200,6,2.49
16,33.25,10,5,7,1382159700,-87.72345239,41.9850151,-87.80453201,1.64,,Credit Card,,1200,10,0
7,5.45,2,22,5,1392328800,-87.65131088,41.93615907,-87.66126522,0.9,17031062800,Credit Card,,300,6,2
7,6.25,12,22,3,1387319400,-87.65106188,41.93615907,-87.66126522,1.5,17031062800,Cash,,360,6,0
8,9.65,4,1,7,1428109200,-87.63086503,41.93615907,-87.66126522,2.8,17031062800,Credit Card,,720,6,1.5
24,16.45,4,22,6,1429308900,-87.67531162,41.93615907,-87.66126522,4.6,17031062800,Credit Card,,1860,6,0
6,8.05,3,20,6,1394223300,-87.67151801,41.93615907,-87.66126522,1.8,17031062800,Cash,Choice Taxi Association,600,6,0
24,5.85,7,0,3,1438044300,-87.67531162,41.904712,-87.70188456,1.2,17031240900,Cash,,300,24,0
6,8.05,6,19,6,1372446000,-87.66879444,41.92170149,-87.65591185,0,17031071000,Cash,Choice Taxi Association,600,7,0
6,10.05,6,22,7,1403995500,-87.6605035,41.92170149,-87.65591185,0,17031071000,Cash,Taxi Affiliation Services,780,7,0
